Sel.;Produto;Derivação;Descrição;Custo Variável;Custo Direto Fixo;CIF;Custo Total;UM;Origem Valor;Obs.
0;2102120005;AZUL;DUTO CURVO M2 - AZUL;217,602579;79,730153;0,000000;297,332732;UN;Calculado;
0;2102120005;COLORID;DUTO CURVO M2 - COLORIDA;138,729295;79,730153;0,000000;218,459448;UN;Calculado;
0;2102120005;LARANJA;DUTO CURVO M2 - LARANJA;238,998830;79,730153;0,000000;318,728983;UN;Calculado;
0;2102120005;LILAS;DUTO CURVO M2 - LILAS;228,637942;79,730153;0,000000;308,368095;UN;Calculado;
0;2102120005;LIMAO;DUTO CURVO M2 - VERDE LIMAO;223,481128;79,730153;0,000000;303,211281;UN;Calculado;
0;2102120005;VERDE;DUTO CURVO M2 - VERDE;215,716718;79,730153;0,000000;295,446871;UN;Calculado;
0;2102120005;VERMELH;DUTO CURVO M2 - VERMELHO;220,520867;79,730153;0,000000;300,251020;UN;Calculado;
0;2102120006;VERDE;DUTO RETO M4 - VERDE;329,919699;117,250225;0,000000;447,169924;UN;Calculado;
0;2102120006;VERMELH;DUTO RETO M4 - VERMELHO;337,267221;117,250225;0,000000;454,517446;UN;Calculado;
0;2102120007;VERDE;DUTO RETO M5 - VERDE;156,077399;548,731053;0,000000;704,808452;UN;Calculado;
0;2102120007;VERMELH;DUTO RETO M5 - VERMELHO;159,553342;548,731053;0,000000;708,284395;UN;Calculado;
0;2102130001;AMARELO;ESCADA M1 - AMARELO;168,612829;60,970117;0,000000;229,582946;UN;Calculado;
0;2102130001;AZUL;ESCADA M1 - AZUL;166,401971;60,970117;0,000000;227,372088;UN;Calculado;
0;2102130001;CINZA;ESCADA M1 - CINZA;138,831888;60,970117;0,000000;199,802005;UN;Calculado;
0;2102130001;LARANJA;ESCADA M1 - LARANJA;182,763810;60,970117;0,000000;243,733927;UN;Calculado;
0;2102130001;LILAS;ESCADA M1 - LILAS;174,840778;60,970117;0,000000;235,810895;UN;Calculado;
0;2102130001;VERDE;ESCADA M1 - VERDE;164,959842;60,970117;0,000000;225,929959;UN;Calculado;
0;2102130001;VERMELH;ESCADA M1 - VERMELHO;168,633603;60,970117;0,000000;229,603720;UN;Calculado;
0;2102130002;AMARELO;ACESSO M1 - AMARELO;194,553265;70,350135;0,000000;264,903400;UN;Calculado;
0;2102130002;AZUL;ACESSO M1 - AZUL;192,002275;70,350135;0,000000;262,352410;UN;Calculado;
0;2102130002;COLORID;ACESSO M1 - COLORIDA;138,729295;70,350135;0,000000;209,079430;UN;Calculado;
0;2102130002;LARANJA;ACESSO M1 - LARANJA;210,881320;70,350135;0,000000;281,231455;UN;Calculado;
0;2102130002;LILAS;ACESSO M1 - LILAS;201,739360;70,350135;0,000000;272,089495;UN;Calculado;
0;2102130002;VERDE;ACESSO M1 - VERDE;190,338280;70,350135;0,000000;260,688415;UN;Calculado;
0;2102130002;VERMELH;ACESSO M1 - VERMELHO;194,577235;70,350135;0,000000;264,927370;UN;Calculado;
0;2102130003;AMARELO;DEGRAU M1 - AMARELO;26,428721;9,380018;0,000000;35,808739;UN;Calculado;
0;2102130003;AZUL;DEGRAU M1 - AZUL;26,088589;9,380018;0,000000;35,468607;UN;Calculado;
0;2102130003;COLORID;DEGRAU M1 - COLORIDA;14,361215;9,380018;0,000000;23,741233;UN;Calculado;
0;2102130003;LARANJA;DEGRAU M1 - LARANJA;28,605795;9,380018;0,000000;37,985813;UN;Calculado;
0;2102130003;LILAS;DEGRAU M1 - LILAS;27,386867;9,380018;0,000000;36,766885;UN;Calculado;
0;2102130003;LIMAO;DEGRAU M1 - VERDE LIMAO;26,780183;9,380018;0,000000;36,160201;UN;Calculado;
0;2102130003;VERDE;DEGRAU M1 - VERDE;25,866723;9,380018;0,000000;35,246741;UN;Calculado;
0;2102130003;VERMELH;DEGRAU M1 - VERMELHO;26,431917;9,380018;0,000000;35,811935;UN;Calculado;
0;2102140001;AMARELO;ESCALADA M1 - AMARELO;103,761739;37,520072;0,000000;141,281811;UN;Calculado;
0;2102140001;AZUL;ESCALADA M1 - AZUL;102,401211;37,520072;0,000000;139,921283;UN;Calculado;
0;2102140001;LARANJA;ESCALADA M1 - LARANJA;112,470035;37,520072;0,000000;149,990107;UN;Calculado;
