1;4010;40040101;PARQUE INFANTIL MOD  PISO;UNICA
2;10;2102160004;PORTAL M2;UNICA;VERMELH;8;UN
2;20;2102170001;PLATAFORMA M1;UNICA;CINZA;2;UN
2;30;2102190002;TOLDO M2;UNICA;AZUL;1;UN
2;40;2102190002;TOLDO M2;UNICA;VERDE;1;UN
2;50;2102199013;DISCO M2;UNICA;LIMAO;5;UN
2;60;2262260004;BOMBEIRO M1 PINT;UNICA;UNICA;1;UN
2;70;2262260007;BOMBEIRO DE DISCO M1 PINT;UNICA;UNICA;1;UN
2;80;2262261010;CORRIMAO PASS DE CORDAS 3M PINT;UNICA;UNICA;2;UN
2;90;2262262004;PEGA MAO 80CM PINT UNICO;UNICA;UNICA;2;UN
2;100;2262262004;PEGA MAO 80CM PINT;UNICA;UNICA;4;UN
2;110;3003010007;PASSARELA DE CORDAS 2M;UNICA;UNICA;1;UN
2;120;40410001;COLUNA MAD PLAST 9 X 9CM;UNICA;320 CM;8;UN
2;130;3003020027;KIT PF BOMBEIRO DE DISCO PISO;UNICA;UNICA;1;UN
2;140;3003020026;KIT PF PEGA MAO;UNICA;UNICA;6;UN
2;150;3003020028;KIT PF BOMBEIRO PISO;UNICA;UNICA;1;UN
2;160;3003020187;KIT PF ESCALADA CORDA;UNICA;UNICA;1;UN
2;170;3003020020;KIT PF PORTAL M2;UNICA;UNICA;8;UN
2;180;3003020005;KIT PF TOLDO M2;UNICA;UNICA;2;UN
2;190;3003020140;KIT PF TORRE L PEQUENO PISO;UNICA;UNICA;2;UN
2;200;3003020009;KIT PF PLATAFORMA M1;UNICA;UNICA;2;UN
