Sel.;Produto;Derivação;Descrição;Custo Variável;Custo Direto Fixo;CIF;Custo Total;UM;Origem Valor;Obs.
1;2002000007;CINZA;PEMD 1,300 KG - CINZA;11,5750622;0;0;11,5750622;UN;Calculado;
1;2002000007;COLORID;PEMD 1,300 KG - COLORIDA;12,0231462;0;0;12,0231462;UN;Calculado;
1;2002000007;LARANJA;PEMD 1,300 KG - LARANJA;11,8514565;0;0;11,8514565;UN;Calculado;
1;2002000007;LILAS;PEMD 1,300 KG - LILAS;11,7719004;0;0;11,7719004;UN;Calculado;
1;2002000007;LIMAO;PEMD 1,300 KG - VERDE LIMAO;12,7788271;0;0;12,7788271;UN;Calculado;
1;2002000007;VERDE;PEMD 1,300 KG - VERDE;11,5562226;0;0;11,5562226;UN;Calculado;
1;2002000007;VERMELH;PEMD 1,300 KG - VERMELHO;11,6715183;0;0;11,6715183;UN;Calculado;
1;2002000008;AMARELO;PEMD 1,500 KG - AMARELO;13,4977155;0;0;13,4977155;UN;Calculado;
1;2002000008;AZUL;PEMD 1,500 KG - AZUL;13,901688;0;0;13,901688;UN;Calculado;
1;2002000008;CINZA;PEMD 1,500 KG - CINZA;13,355841;0;0;13,355841;UN;Calculado;
1;2002000008;COLORID;PEMD 1,500 KG - COLORIDA;13,872861;0;0;13,872861;UN;Calculado;
1;2002000008;LARANJA;PEMD 1,500 KG - LARANJA;13,6747575;0;0;13,6747575;UN;Calculado;
1;2002000008;LILAS;PEMD 1,500 KG - LILAS;13,582962;0;0;13,582962;UN;Calculado;
1;2002000008;LIMAO;PEMD 1,500 KG - VERDE LIMAO;14,7448005;0;0;14,7448005;UN;Calculado;
1;2002000008;VERDE;PEMD 1,500 KG - VERDE;13,334103;0;0;13,334103;UN;Calculado;
1;2002000008;VERMELH;PEMD 1,500 KG - VERMELHO;13,4671365;0;0;13,4671365;UN;Calculado;
1;2002000009;AMARELO;PEMD 1,600 KG - AMARELO;14,3975632;0;0;14,3975632;UN;Calculado;
1;2002000009;AZUL;PEMD 1,600 KG - AZUL;14,8284672;0;0;14,8284672;UN;Calculado;
1;2002000009;CINZA;PEMD 1,600 KG - CINZA;14,2462304;0;0;14,2462304;UN;Calculado;
1;2002000009;COLORID;PEMD 1,600 KG - COLORIDA;14,7977184;0;0;14,7977184;UN;Calculado;
1;2002000009;LARANJA;PEMD 1,600 KG - LARANJA;14,586408;0;0;14,586408;UN;Calculado;
1;2002000009;LILAS;PEMD 1,600 KG - LILAS;14,4884928;0;0;14,4884928;UN;Calculado;
1;2002000009;LIMAO;PEMD 1,600 KG - VERDE LIMAO;15,7277872;0;0;15,7277872;UN;Calculado;
1;2002000009;VERDE;PEMD 1,600 KG - VERDE;14,2230432;0;0;14,2230432;UN;Calculado;
